Name,Symbol (Prod),Symbol USD,Custody,Liquidity,Env.,Type,Confirms,Precision,Deposit,Supported in NY,Price Precision,Quantity Precision
Aave,AAVE.ETH,AAVE/USD,Yes,Yes,Prod,ERC20,1,18,Yes,Yes,4,8
Cardano,ADA,ADA/USD,Yes,Yes,Prod/Cert,Base,1,6,Yes,No,6,6
Algorand,ALGO,ALGO/USD,Yes,Yes,Prod/Cert,Base,1,6,Yes*,No,8,6
Apecoin,APE.ETH,APE.ETH/USD,Yes,No,Prod,ERC20,1,18,Yes,No,6,8
Avalanche C-Chain,AVAX,AVAX/USD,Yes,Yes,Prod/Cert,C-Chain,1,18,Yes*,No,7,8
Axie Infinity,AXS.ETH,AXS/USD,Yes,Yes,Prod/Cert,ERC20,1,18,Yes,No,7,8
Basic Attention Token,BAT.ETH,BAT/USD,Yes,Yes,Prod,ERC20,1,18,Yes,Yes,9,8
Bitcoin Cash,BCH,BCH/USD,Yes,Yes,Prod/Cert,Base,1,8,Yes,Yes,6,8
Bitcoin,BTC,BTC/USD,Yes,Yes,Prod/Cert,Base,1,8,Yes,Yes,6,8
Binance USD,BUSD.ETH,BUSD/USD,Yes,Yes,Prod,ERC20,1,18,Yes,Yes,8,8
Compound,COMP.ETH,COMP/USD,Yes,Yes,Prod/Cert,ERC20,1,18,Yes,No,6,8
Civic,CVC.ETH,CVC/USD,Yes,No,Prod,ERC20,1,8,Yes,No,,
Dai,DAI.ETH,DAI/USD,Yes,Yes,Prod/Cert,ERC20,1,18,Yes,No,8,8
Dogecoin,DOGE,DOGE/USD,Yes,Yes,Prod/Cert,Base,10,8,Yes,No,10,8
Polkadot,DOT,DOT/USD,Yes,Yes,Prod/Cert,Base,1,10,Yes*,No,8,8
Elrond,EGLD,EGLD/USD,Yes,Yes,Prod/Cert,Base,1,18,Yes*,No,6,8
Enjin Coin,ENJ.ETH,ENJ/USD,Yes,Yes,Prod/Cert,ERC20,1,18,Yes,No,8,8
EOS,EOS,EOS/USD,Yes,Yes,Prod/Cert,Base,1,4,Yes,No,7,4
Ethereum Classic,ETC,ETC/USD,Yes,Yes,Prod/Cert,Base,372,18,Yes*,No,6,8
Ethereum,ETH,ETH/USD,Yes,Yes,Prod/Cert,Base,1,18,Yes,Yes,6,8
Ethereum (Arbitrum),ETH.ARBITRUM,ETH.ARBITRUM/USD,Yes,No,Prod/Cert,Account,1,18,Yes,Yes,6,8
Ethereum (Optimism),ETH.OPTIMISM,ETH.OPTIMISM/USD,Yes,No,Prod/Cert,Account,1,18,Yes,Yes,6,8
Ethereum (Solana),ETH.SOL,ETH.SOL/USD,Yes,No,Prod,Account,1,8,Yes,Yes,6,8
Fantom,FTM,FTM/USD,Yes,Yes,Prod,Base,1,18,Yes*,No,9,8
The Graph,GRT.ETH,GRT/USD,Yes,Yes,Prod/Cert,ERC20,1,18,Yes,No,8,8
GMO Yen,GYEN.ETH,GYEN/USD,Yes,No,Prod/Cert,ERC20,1,6,Yes,Yes,,
Hedera,HBAR,HBAR/USD,Yes,Yes,Prod/Cert,Tag,1,8,Yes,No,8,8
Kyber Network,KNC.ETH,KNC/USD,Yes,Yes,Prod,ERC20,1,18,Yes,No,8,8
Chainlink,LINK.ETH,LINK/USD,Yes,Yes,Prod/Cert,ERC20,1,18,Yes,Yes,9,8
Litecoin,LTC,LTC/USD,Yes,Yes,Prod/Cert,Base,1,8,Yes,Yes,6,8
Terra Luna,LUNA,LUNA/USD,Yes,No,Prod/Cert,Base,1,6,Yes,No,,
Decentraland,MANA.ETH,MANA/USD,Yes,Yes,Prod,ERC20,1,18,Yes,No,8,8
Polygon (ERC20),MATIC.ETH,MATIC/USD,Yes,Yes,Prod,ERC20,1,18,Yes,No,9,8
Polygon (MATIC),MATIC.POLYGON,MATIC.POLYGON/USD,Yes,No,Prod/Cert,Base,1,18,Yes,No,9,8
Maker,MKR.ETH,MKR/USD,Yes,Yes,Prod/Cert,ERC20,1,18,Yes,No,6,8
MobileCoin,MOB,MOB/USD,Yes,No,Prod,Base,1,12,Yes*,No,,
OMG Network,OMG.ETH,OMG/USD,Yes,Yes,Prod,ERC20,1,18,Yes,No,8,8
Orchid,OXT.ETH,OXT/USD,Yes,No,Prod,ERC20,1,18,Yes,No,,
Pax Gold,PAXG.ETH,PAXG/USD,Yes,Yes,Prod/Cert,ERC20,1,18,Yes,Yes,6,8
